symbol,company_name,categories
7203.T,Toyota Motor Corporation,TSE stocks
8306.T,"Mitsubishi UFJ Financial Group, Inc.",TSE stocks
8058.T,Mitsubishi Corporation,TSE stocks
9433.T,KDDI Corporation,TSE stocks
4568.T,"Daiichi Sankyo Company, Limited",TSE stocks
9434.T,SoftBank Corp.,TSE stocks
8766.T,"Tokio Marine Holdings, Inc.",TSE stocks
7267.T,"Honda Motor Co., Ltd.",TSE stocks
6902.T,DENSO Corporation,TSE stocks
4502.T,Takeda Pharmaceutical Company Limited,TSE stocks
8411.T,"Mizuho Financial Group, Inc.",TSE stocks
2914.T,Japan Tobacco Inc.,TSE stocks
6981.T,"Murata Manufacturing Co., Ltd.",TSE stocks
7182.T,"JAPAN POST BANK Co., Ltd.",TSE stocks
6503.T,Mitsubishi Electric Corporation,TSE stocks
6178.T,"Japan Post Holdings Co., Ltd.",TSE stocks
8053.T,Sumitomo Corporation,TSE stocks
6723.T,Renesas Electronics Corporation,TSE stocks
7751.T,Canon Inc.,TSE stocks
8002.T,Marubeni Corporation,TSE stocks
6301.T,Komatsu Ltd.,TSE stocks
6954.T,Fanuc Corporation,TSE stocks
8801.T,"Mitsui Fudosan Co., Ltd.",TSE stocks
9022.T,Central Japan Railway Company,TSE stocks
8591.T,ORIX Corporation,TSE stocks
6752.T,Panasonic Holdings Corporation,TSE stocks
5401.T,Nippon Steel Corporation,TSE stocks
9613.T,NTT DATA Group Corporation,TSE stocks
8750.T,"Dai-ichi Life Holdings, Inc.",TSE stocks
6971.T,Kyocera Corporation,TSE stocks
8267.T,"Aeon Co., Ltd.",TSE stocks
4503.T,Astellas Pharma Inc.,TSE stocks
1925.T,"Daiwa House Industry Co., Ltd.",TSE stocks
8802.T,"Mitsubishi Estate Co., Ltd.",TSE stocks
4612.T,"Nippon Paint Holdings Co., Ltd.",TSE stocks
6326.T,Kubota Corporation,TSE stocks
7733.T,Olympus Corporation,TSE stocks
1605.T,Inpex Corporation,TSE stocks
7270.T,Subaru Corporation,TSE stocks
8604.T,"Nomura Holdings, Inc.",TSE stocks
4307.T,"Nomura Research Institute, Ltd.",TSE stocks
9101.T,Nippon Yusen Kabushiki Kaisha,TSE stocks
8830.T,"Sumitomo Realty & Development Co., Ltd.",TSE stocks
3659.T,"NEXON Co., Ltd.",TSE stocks
8309.T,"Sumitomo Mitsui Trust Holdings, Inc.",TSE stocks
1928.T,"Sekisui House, Ltd.",TSE stocks
7532.T,Pan Pacific International Holdings Corporation,TSE stocks
8697.T,"Japan Exchange Group, Inc.",TSE stocks
7832.T,BANDAI NAMCO Holdings Inc.,TSE stocks
8308.T,"Resona Holdings, Inc.",TSE stocks
4091.T,Nippon Sanso Holdings Corporation,TSE stocks
2503.T,"Kirin Holdings Company, Limited",TSE stocks
9503.T,"The Kansai Electric Power Company, Incorporated",TSE stocks
5802.T,"Sumitomo Electric Industries, Ltd.",TSE stocks
4911.T,"Shiseido Company, Limited",TSE stocks
7202.T,Isuzu Motors Limited,TSE stocks
4151.T,"Kyowa Kirin Co., Ltd.",TSE stocks
8601.T,Daiwa Securities Group Inc.,TSE stocks
9202.T,ANA Holdings Inc.,TSE stocks
5411.T,"JFE Holdings, Inc.",TSE stocks
8593.T,Mitsubishi HC Capital Inc.,TSE stocks
2587.T,Suntory Beverage & Food Limited,TSE stocks
3407.T,Asahi Kasei Corporation,TSE stocks
9502.T,"Chubu Electric Power Company, Incorporated",TSE stocks
2413.T,"M3, Inc.",TSE stocks
7272.T,"Yamaha Motor Co., Ltd.",TSE stocks
2897.T,"Nissin Foods Holdings Co.,Ltd.",TSE stocks
1812.T,Kajima Corporation,TSE stocks
8795.T,"T&D Holdings, Inc.",TSE stocks
9531.T,"Tokyo Gas Co.,Ltd.",TSE stocks
5019.T,"Idemitsu Kosan Co.,Ltd.",TSE stocks
9501.T,"Tokyo Electric Power Company Holdings, Incorporated",TSE stocks
