symbol,company_name,categories
9432.T,Nippon Telegraph and Telephone Corporation,TSE stocks
2181.T,"Persol Holdings Co.,Ltd.",TSE stocks
4005.T,"Sumitomo Chemical Company, Limited",TSE stocks
8410.T,"Seven Bank, Ltd.",TSE stocks
6472.T,NTN Corporation,TSE stocks
2317.T,Systena Corporation,TSE stocks
8346.T,"The Toho Bank, Ltd.",TSE stocks
2353.T,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",TSE stocks
7779.T,CYBERDYNE Inc.,TSE stocks
5563.T,"Nippon Denko Co., Ltd.",TSE stocks
4477.T,"BASE, Inc.",TSE stocks
4714.T,"Riso Kyoiku Co., Ltd.",TSE stocks
9424.T,Japan Communications Inc.,TSE stocks
3315.T,"Nippon Coke & Engineering Company, Limited",TSE stocks
8550.T,"The Tochigi Bank, Ltd.",TSE stocks
2930.T,Kitanotatsujin Corporation,TSE stocks
3159.T,"Maruzen CHI Holdings Co.,Ltd.",TSE stocks
3010.T,"Polaris Holdings Co., Ltd.",TSE stocks
5017.T,"Fuji Oil Company, Ltd.",TSE stocks
2471.T,"S-Pool, Inc.",TSE stocks
2120.T,"LIFULL Co.,Ltd.",TSE stocks
8338.T,"Tsukuba Bank, Ltd.",TSE stocks
8202.T,"Laox Holdings CO.,LTD.",TSE stocks
3825.T,"Remixpoint, Inc.",TSE stocks
4772.T,Stream Media Corporation,TSE stocks
2533.T,"Oenon Holdings, Inc.",TSE stocks
7383.T,"Net Protections Holdings, Inc.",TSE stocks
6444.T,Sanden Corporation,TSE stocks
4376.T,Kufu Company Inc.,TSE stocks
4344.T,Sourcenext Corporation,TSE stocks
2764.T,Hiramatsu Inc.,TSE stocks
2440.T,"Gurunavi, Inc.",TSE stocks
5658.T,"Nichia Steel Works, Ltd.",TSE stocks
4574.T,"Taiko Pharmaceutical Co.,Ltd.",TSE stocks
6572.T,"RPA Holdings, Inc.",TSE stocks
3264.T,Ascot Corp.,TSE stocks
7238.T,"Akebono Brake Industry Co., Ltd.",TSE stocks
4651.T,Sanix Incorporated,TSE stocks
7354.T,Direct Marketing MiX Inc.,TSE stocks
4978.T,ReproCELL Incorporated,TSE stocks
1435.T,"Robot Home, Inc.",TSE stocks
3415.T,"TOKYO BASE Co.,Ltd.",TSE stocks
8165.T,"Senshukai Co., Ltd.",TSE stocks
4891.T,"TMS Co., Ltd.",TSE stocks
4571.T,"NANO MRNA Co.,Ltd.",TSE stocks
7822.T,"Eidai Co.,Ltd.",TSE stocks
2686.T,"Gfoot Co.,Ltd.",TSE stocks
7692.T,Earth Infinity Co.Ltd.,TSE stocks
2990.T,"Aida Sekkei Co.,Ltd.",TSE stocks
1873.T,"Nihon House Holdings Co., Ltd.",TSE stocks
