symbol,company_name,categories
AY,Atlantica Sustainable Infrastructure plc,"US stocks,US stocks - not owned"
BLMN,"Bloomin' Brands, Inc.","US stocks,US stocks - not owned"
NZF,Nuveen Municipal Credit Income Fund,"US stocks,US stocks - not owned"
VIAV,Viavi Solutions Inc.,"US stocks,US stocks - not owned"
SOVO,"Sovos Brands, Inc.","US stocks,US stocks - not owned"
ZLAB,Zai Lab Limited,"US stocks,US stocks - not owned"
OPEN,Opendoor Technologies Inc.,"US stocks,US stocks - not owned"
NJDCY,Nidec Corporation,"US stocks,US stocks - not owned"
EPOKY,Epiroc AB (publ),"US stocks,US stocks - not owned"
MT,ArcelorMittal S.A.,"US stocks,US stocks - not owned"
PCRFY,Panasonic Holdings Corporation,"US stocks,US stocks - not owned"
OWL,Blue Owl Capital Inc.,"US stocks,US stocks - not owned"
IMBBY,Imperial Brands PLC,"US stocks,US stocks - not owned"
MSADY,"MS&AD Insurance Group Holdings, Inc.","US stocks,US stocks - not owned"
PHG,Koninklijke Philips N.V.,"US stocks,US stocks - not owned"
CCL,Carnival Corporation & plc,"US stocks,US stocks - not owned"
KYOCY,Kyocera Corporation,"US stocks,US stocks - not owned"
SIRI,Sirius XM Holdings Inc.,"US stocks,US stocks - not owned"
ALPMY,Astellas Pharma Inc.,"US stocks,US stocks - not owned"
SCGLY,Société Générale Société anonyme,"US stocks,US stocks - not owned"
ERIC,Telefonaktiebolaget LM Ericsson (publ),"US stocks,US stocks - not owned"
UNICY,Unicharm Corporation,"US stocks,US stocks - not owned"
ASX,"ASE Technology Holding Co., Ltd.","US stocks,US stocks - not owned"
UMC,United Microelectronics Corporation,"US stocks,US stocks - not owned"
HPE,Hewlett Packard Enterprise Company,"US stocks,US stocks - not owned"
UWMC,UWM Holdings Corporation,"US stocks,US stocks - not owned"
HSNGY,Hang Seng Bank Limited,"US stocks,US stocks - not owned"
WBA,"Walgreens Boots Alliance, Inc.","US stocks,US stocks - not owned"
CKHUY,CK Hutchison Holdings Limited,"US stocks,US stocks - not owned"
PPL,PPL Corporation,"US stocks,US stocks - not owned"
CUK,Carnival Corporation & plc,"US stocks,US stocks - not owned"
NOKBF,Nokia Oyj,"US stocks,US stocks - not owned"
TNRSF,Tenaris S.A.,"US stocks,US stocks - not owned"
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,"US stocks,US stocks - not owned"
NOK,Nokia Oyj,"US stocks,US stocks - not owned"
HBAN,Huntington Bancshares Incorporated,"US stocks,US stocks - not owned"
CTRA,Coterra Energy Inc.,"US stocks,US stocks - not owned"
GMAB,Genmab A/S,"US stocks,US stocks - not owned"
DIDIY,DiDi Global Inc.,"US stocks,US stocks - not owned"
RPRX,Royalty Pharma plc,"US stocks,US stocks - not owned"
RF,Regions Financial Corporation,"US stocks,US stocks - not owned"
CNP,"CenterPoint Energy, Inc.","US stocks,US stocks - not owned"
REPYY,"Repsol, S.A.","US stocks,US stocks - not owned"
BEKE,KE Holdings Inc.,"US stocks,US stocks - not owned"
BEP,Brookfield Renewable Partners L.P.,"US stocks,US stocks - not owned"
VIV,Telefônica Brasil S.A.,"US stocks,US stocks - not owned"
CTTAY,Continental Aktiengesellschaft,"US stocks,US stocks - not owned"
WXXWY,WuXi Biologics (Cayman) Inc.,"US stocks,US stocks - not owned"
CRBG,"Corebridge Financial, Inc.","US stocks,US stocks - not owned"
RIVN,"Rivian Automotive, Inc.","US stocks,US stocks - not owned"
CNHI,CNH Industrial N.V.,"US stocks,US stocks - not owned"
GEN,Gen Digital Inc.,"US stocks,US stocks - not owned"
TME,Tencent Music Entertainment Group,"US stocks,US stocks - not owned"
POAHY,Porsche Automobil Holding SE,"US stocks,US stocks - not owned"
